Input	Input_source	Output	Output_source
C01089	KEGG	CHEBI:10983	ChEBI
C02946	KEGG	CHEBI:11951	ChEBI
C04272	KEGG	CHEBI:49072	ChEBI
C02679	KEGG	CHEBI:18262	ChEBI
C01037	KEGG	CHEBI:17830	ChEBI
C01571	KEGG	CHEBI:27689	ChEBI
C06001	KEGG	CHEBI:62638	ChEBI
C00596	KEGG	CHEBI:37319	ChEBI
C02217	KEGG	CHEBI:58022	ChEBI
C00511	KEGG	CHEBI:37080	ChEBI
C00074	KEGG	CHEBI:18021	ChEBI
C01546	KEGG	CHEBI:16739	ChEBI
C00587	KEGG	CHEBI:16193	ChEBI
C00156	KEGG	CHEBI:17879	ChEBI
C06672	KEGG	CHEBI:16632	ChEBI
C00805	KEGG	CHEBI:30762	ChEBI
C02657	KEGG	CHEBI:36658	ChEBI
C14015	KEGG	CHEBI:34720	ChEBI
C12458	KEGG	CHEBI:74155	ChEBI
C06580	KEGG	CHEBI:36647	ChEBI
C00196	KEGG	CHEBI:36654	ChEBI
C00230	KEGG	CHEBI:36241	ChEBI
C17554	KEGG	CHEBI:64694	ChEBI
C17554	KEGG	CHEBI:64694	ChEBI
C01424	KEGG	CHEBI:16918	ChEBI
C01572	KEGG	CHEBI:17866	ChEBI
C03986	KEGG	CHEBI:36558	ChEBI
C00632	KEGG	CHEBI:36559	ChEBI
C03203	KEGG	CHEBI:15992	ChEBI
C02637	KEGG	CHEBI:16630	ChEBI
C00522	KEGG	CHEBI:15980	ChEBI
C11499	KEGG	CHEBI:61289	ChEBI
C04171	KEGG	CHEBI:58764	ChEBI
C00944	KEGG	CHEBI:32364	ChEBI
C05839	KEGG	CHEBI:62223	ChEBI
C13334	KEGG	CHEBI:71260	ChEBI
C05406	KEGG	CHEBI:86001	ChEBI
C11366	KEGG	CHEBI:8989	ChEBI
C02370	KEGG	CHEBI:17861	ChEBI
C02357	KEGG	CHEBI:28303	ChEBI
C02359	KEGG	CHEBI:27839	ChEBI
C02364	KEGG	CHEBI:28665	ChEBI
C02371	KEGG	CHEBI:27893	ChEBI
C00568	KEGG	CHEBI:17836	ChEBI
C00108	KEGG	CHEBI:16567	ChEBI
C03005	KEGG	CHEBI:36557	ChEBI
C05831	KEGG	CHEBI:20109	ChEBI
C04208	KEGG	CHEBI:36564	ChEBI
C06332	KEGG	CHEBI:16803	ChEBI
C03141	KEGG	CHEBI:17331	ChEBI
C04302	KEGG	CHEBI:18277	ChEBI
C00921	KEGG	CHEBI:17839	ChEBI
C00180	KEGG	CHEBI:16150	ChEBI
C02236	KEGG	CHEBI:20476	ChEBI
C00985	KEGG	CHEBI:20435	ChEBI
C02519	KEGG	CHEBI:16639	ChEBI
C02363	KEGG	CHEBI:36648	ChEBI
C07215	KEGG	CHEBI:28872	ChEBI
C07211	KEGG	CHEBI:28795	ChEBI
C01454	KEGG	CHEBI:28856	ChEBI
C06578	KEGG	CHEBI:25822	ChEBI
C10943	KEGG	CHEBI:47319	ChEBI
C18777	KEGG	CHEBI:81953	ChEBI
C05848	KEGG	CHEBI:78396	ChEBI
C03993	KEGG	CHEBI:11935	ChEBI
C00423	KEGG	CHEBI:15669	ChEBI
C04415	KEGG	CHEBI:47893	ChEBI
C06739	KEGG	CHEBI:47892	ChEBI
C04634	KEGG	CHEBI:17708	ChEBI
C00408	KEGG	CHEBI:30633	ChEBI
C00296	KEGG	CHEBI:29751	ChEBI
C01234	KEGG	CHEBI:30526	ChEBI
C01512	KEGG	CHEBI:18052	ChEBI
C02283	KEGG	CHEBI:17573	ChEBI
C03564	KEGG	CHEBI:17425	ChEBI
C04322	KEGG	CHEBI:15893	ChEBI
C03912	KEGG	CHEBI:17388	ChEBI
C17726	KEGG	CHEBI:134119	ChEBI
C17647	KEGG	CHEBI:134116	ChEBI
C03314	KEGG	CHEBI:16806	ChEBI
C02470	KEGG	CHEBI:71201	ChEBI
C02954	KEGG	CHEBI:30938	ChEBI
C12078	KEGG	CHEBI:58621	ChEBI
C00253	KEGG	CHEBI:32544	ChEBI
C01004	KEGG	CHEBI:18123	ChEBI
C03003	KEGG	CHEBI:49124	ChEBI
C04773	KEGG	CHEBI:30960	ChEBI
C04773	KEGG	CHEBI:30960	ChEBI
C05654	KEGG	CHEBI:86003	ChEBI
C06050	KEGG	CHEBI:140633	ChEBI
C04205	KEGG	CHEBI:17318	ChEBI
C02914	KEGG	CHEBI:61287	ChEBI
C06082	KEGG	CHEBI:37569	ChEBI
C06144	KEGG	CHEBI:62211	ChEBI
C00499	KEGG	CHEBI:17536	ChEBI
C17018	KEGG	CHEBI:64254	ChEBI
C00450	KEGG	CHEBI:58769	ChEBI
C17367	KEGG	CHEBI:73939	ChEBI
C07707	KEGG	CHEBI:8025	ChEBI
C04722	KEGG	CHEBI:85674	ChEBI
C00785	KEGG	CHEBI:27247	ChEBI
C03071	KEGG	CHEBI:136067	ChEBI
C02919	KEGG	CHEBI:141763	ChEBI
C00417	KEGG	CHEBI:16383	ChEBI
C02341	KEGG	CHEBI:15708	ChEBI
C00158	KEGG	CHEBI:16947	ChEBI
C05662	KEGG	CHEBI:30904	ChEBI
C05662	KEGG	CHEBI:15404	ChEBI
